"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"accessories","Bags & Luggage",4.00209237819585,0.591301465865548,4,4,381.11360347327,2279.84444152656,35,4,1112.0646780029,1635.66969529135,597,299,2548.71250964786,3567.97935602774,1499,999,6320388,6995010746.09
"accessories","Fashion & Silver Jewellery",3.89746918869044,0.704677360942137,3.9,5,119.471363606414,452.241610588847,13,5,739.426899097087,2167.57413097629,399,299,2181.19088710208,2994.90518279502,1599,999,1812739,1176495355.65
"accessories","Gold & Diamond Jewellery",3.93726765799257,1.09796241174044,4.2,5,31.4990706319707,174.127216255806,3,5,18146.4955483271,18536.7298672886,12809,47540,21708.9194609666,28907.1288795872,14989,52294,33893,583401296.88
"accessories","Handbags & Clutches",3.90514588859416,0.792589244589209,4,5,112.92944297083,597.769960369409,9,5,1158.67350663131,1674.87126801875,699,499,2579.99779537703,2485.64576884577,1990,999,1490104,2431058008.06
"accessories","Jewellery",3.80972295283184,0.976644028092666,4,5,51.7630194634389,364.156442772804,4,5,1632.65933456069,5930.03730365517,499,299,3171.48346484315,7439.40216291122,1500,999,590409,1417719946.98
"accessories","Sunglasses",3.96379928315412,0.971212201027121,4.3,5,317.820788530466,1441.8659236796,6,5,5062.90609318997,6422.01242657661,3182,299,6209.44967741935,6901.25280763496,3999,1299,88672,293170140.01
"accessories","Watches",3.83525068476837,0.902343687415043,4,5,115.788972251999,509.378921732174,7,5,3363.88429558176,5712.29612938353,975,299,4744.43344051446,6605.64690642784,1999,999,972280,3788599519.87
"appliances","Air Conditioners",3.82564841498559,0.757852398250218,4,4,278.403458213257,785.315078912405,23,4,38871.0144092219,16341.6550195275,37999,37990,55042.3025936599,21942.4098268474,56190,59990,96606,3207838404
"appliances","All Appliances",3.92786336235767,0.542695905758044,4,4.1,887.422638981829,4456.04380725545,103,4.1,3652.74970529136,7667.84015136392,915.5,499,5791.88784550117,11556.9519010602,1695,999,7949532,31487179174.43
"appliances","Heating & Cooling Appliances",3.69068373740126,0.82223085788522,3.8,4,351.845818578054,2361.19158666951,13,4,4607.92136202673,8941.45438509343,1527.5,999,6736.96602560604,12675.7551774135,2499,999,2583252,17651852085.18
"appliances","Kitchen & Home Appliances",3.87340888278388,0.608195589931386,3.9,4,790.002632783955,3734.33877484121,73,4,2936.87772092495,5890.45839267599,999,499,4837.02184752747,9279.19505146545,1917.5,999,6901463,24888751076.32
"appliances","Refrigerators",3.9256183745583,0.848881130935444,4.1,4.1,297.489399293285,786.313303583153,21,4.1,27781.9263957597,26489.186018233,20440,16990,37226.1441872791,37665.233421856,25195,21990,168379,3475740806.38
"appliances","Washing Machines",3.99272727272727,0.787575316999594,4.2,5,398.301818181818,1511.26214269104,19.5,5,19627.1446181818,16547.3665818343,17045,2999,25842.3909090909,21456.303954967,21770,5999,219066,4062152921.74
"bags & luggage","Backpacks",3.946,0.857758123353259,4.1,5,841.101818181824,3951.57604819391,14,5,2291.90230909091,3480.98301127445,994,599,3581.40534545454,4367.87183975675,2000,999,462606,787050097.44
"bags & luggage","Rucksacks",4.07980769230769,0.935635374968107,4.4,5,369.951923076923,1972.03324367796,17.5,5,6147.08096153846,6039.95761917098,3981,1999,8180.47615384616,6969.41402811791,5819,2999,38475,358705288.11
"bags & luggage","Suitcases & Trolley Bags",3.82088452088452,0.987224403860409,4,5,147.820638820639,713.60475997895,6,5,8044.44034398035,9560.87028265845,4799,1999,12885.8968796069,10955.643904705,10043.04,3999,60163,1150235145.2
"bags & luggage","Travel Accessories",3.89342004590666,0.832220324186987,4,5,275.973221117067,1644.74574948416,9,5,642.981614384087,3981.99888201696,319,199,1209.29974751338,5408.27454000997,699,999,360697,389772611.41
"bags & luggage","Travel Duffles",3.93115577889447,0.853710955067518,4.1,5,167.08040201005,545.378900415133,15,5,2697.65582914573,5005.32758064745,799,599,3940.14020100502,5731.73863435807,1999,999,33249,140599078.99
"bags & luggage","Wallets",4.01650390625,0.762713094742618,4.1,5,400.77734375,5844.99465352539,10,5,1388.57066406249,2684.00820536383,643,499,2371.47803710938,3076.74435412427,1595,999,410396,702871616.27
"beauty & health","Beauty & Grooming",4.07347918890075,0.425791506100785,4.1,4.1,1177.94023479191,3483.67403778707,212.5,4.1,480.373191035219,598.372619752143,299,299,736.074130202775,962.337636698263,490,499,2207460,1519567550.25
"beauty & health","Diet & Nutrition",4.10293333333333,0.435093477909716,4.1,4.1,376.425777777778,2487.95473910891,58,4.1,727.31408,888.999469609507,431,499,1100.89422222222,1450.20980946556,620,999,423479,846546500.17
"beauty & health","Health & Personal Care",4.1739010989011,0.298431864491677,4.2,4.2,3624.66666666664,8490.97428219652,1287,4.2,514.14413003663,1861.20023126964,299,199,753.331501831501,2109.12160507668,422.5,499,3958136,2089503628.81
"beauty & health","Household Supplies",3.97822485207101,0.80438618180351,4.1,5,373.965680473375,2318.31217203806,19,5,552.514745562129,891.557573923027,345,299,883.814875739645,1411.62196820647,499,499,316001,307720191.78
"beauty & health","Luxury Beauty",4.0905325443787,0.717531115427585,4.2,4.5,539.818540433922,4076.37527007775,36,4.5,2016.75978303748,2111.33492572063,1150,585,2313.81360946745,2367.41688278792,1300,650,273688,791060387.64
"beauty & health","Make-up",3.84313616071429,0.82627684883426,4,5,482.3125,2482.90655051329,11,5,514.448727678572,834.775047207351,285.5,199,875.942918526789,1424.8221987575,499,499,864304,868664056.33
"beauty & health","Personal Care Appliances",3.44489795918367,1.13751623782327,3.6,5,485.524781341107,2858.50858218802,5,5,1887.51673469388,4387.66567259383,699,599,2913.24982507289,5826.08558816139,1499,999,166535,1062760711.27
"beauty & health","Value Bazaar",4.30454545454545,0.166808797205588,4.3,4.4,31114.6060606061,48742.6074583872,13193.5,4.4,520.485,364.790552603082,432,189,678.409090909091,473.405176185433,547,599,2053564,1216153507.95
"car & motorbike","All Car & Motorbike Products",3.84697597348799,0.614708105508463,3.9,4,692.330571665272,3724.9618860229,70,4,890.597663628832,1627.56710526819,409,299,1619.92709196355,2584.28775525808,999,999,835643,638717199.85
"car & motorbike","Car & Bike Care",3.77226502311248,0.893288392332836,3.9,5,236.268104776579,987.157589760239,10,5,1289.14622496148,2255.3855806486,499,399,2209.81818181818,3517.08763685044,999,999,153338,435626601.14
"car & motorbike","Car Accessories",3.80709090909091,0.743674992185977,3.8,5,98.4590909090907,475.931651028266,12,5,919.371936363636,1006.73657175029,675,299,1698.18727272727,1641.15915265737,1249,1999,108305,101589509.85
"car & motorbike","Car Electronics",3.50715268225585,0.898148390719729,3.6,5,236.764786795048,1304.53043639256,9,5,1467.68328748281,4335.37590009316,449,499,2583.02737276479,6245.27387042545,999,999,172128,674279234.04
